Variable,2015,2016,2017,2018,2019,2020,2021,2022,Total
Ene,55171,50876,65727,69356,68713,61787,46749,49338,467717
Feb,52765,52770,58732,64586,62662,57187,45275,47214,441191
Mar,56378,56199,67209,68180,66538,56505,52140,53054,476203
Abr,52897,55535,61369,67358,63995,41278,49146,48851,440429
May,54041,56005,67152,69089,66422,41645,50023,51763,456140
Jun,54142,57266,67675,65724,62402,45588,51508,,404305
Jul,54351,56660,67579,67998,65592,49805,51998,,413983
Ago,54716,59887,71313,70361,64857,49490,51647,,422271
Sep,55691,59672,67099,64955,60693,50114,51767,,409991
Oct,56102,61963,73071,71288,65204,52898,53628,,434154
Nov,54123,60839,69071,66868,61024,49298,53122,,414345
Dic,52270,61683,65102,64839,57994,48680,52236,,402804
